Date,Adj Close,Close,High,Low,Open,Volume,Predicted_Close
29-12-2009,259.1911011,370.7000122,375.8999939,368.3250122,375,2256278,371.375
30-12-2009,259.6629639,371.375,374.375,357.625,371,1472110,375.125
31-12-2009,262.2849426,375.125,377.5,371.8999939,373.125,2853462,375.8250122
04-01-2010,262.7744446,375.8250122,379.4500122,374.5249939,377.3999939,1963682,375.9249878
05-01-2010,262.8443909,375.9249878,379.7749939,373.2749939,377.5,2014488,367.4249878
06-01-2010,256.901123,367.4249878,376.1000061,366.5,375.9249878,3349176,357.2000122
07-01-2010,249.7519531,357.2000122,369.7000122,355.5,367.75,6474892,349.8999939
08-01-2010,244.6477814,349.8999939,359.25,348.25,358,6048178,357.1000061
11-01-2010,249.6820068,357.1000061,360.0499878,350.2000122,352,4318408,375.0249939
12-01-2010,262.2149963,375.0249939,377,363.5,366,9027690,394.2749939
13-01-2010,275.674469,394.2749939,398.2000122,372.3250122,372.5,10910272,389.9249878
14-01-2010,272.6329041,389.9249878,399.2250061,384.6749878,399.2250061,10327614,395.7000122
15-01-2010,276.6708984,395.7000122,399.7999878,386.125,398,7945008,401.1000061
18-01-2010,280.4464722,401.1000061,414.5,396.5,400,7261084,390.3500061
19-01-2010,272.9301453,390.3500061,401.1000061,389.3250122,401.1000061,5154850,389.7000122
20-01-2010,272.475647,389.7000122,396.1000061,385.4500122,396.1000061,4347054,385.3250122
21-01-2010,269.4168091,385.3250122,395.9750061,383.9500122,386.125,5089504,378.9249878
22-01-2010,264.941864,378.9249878,382.5,372.3500061,380.5,7574990,378.1000061
25-01-2010,264.3649597,378.1000061,382.75,370.5750122,378.75,3008286,371.6499939
27-01-2010,260.5444641,371.6499939,379.8500061,370.0750122,375,4844398,370.875
28-01-2010,260.0010071,370.875,378.9750061,363.8500061,374.75,6537196,368.1000061
29-01-2010,258.0556335,368.1000061,369.8999939,356.0750122,367,5473326,373.0750122
01-02-2010,261.5433655,373.0750122,381.3999939,360,367.1749878,3378012,369.2000122
02-02-2010,258.8267517,369.2000122,381.3250122,367.5,377.5,4739188,376.4750061
03-02-2010,263.927002,376.4750061,378.4500122,367.75,372,2977676,369.3500061
04-02-2010,258.9319153,369.3500061,376.9500122,366.25,376.4750061,2716612,361.75
05-02-2010,253.6038971,361.75,367.5,358.2999878,367.5,4607118,362.0750122
08-02-2010,253.8319397,362.0750122,367.375,354.0750122,364.5,4170344,367.5750122
09-02-2010,257.6875916,367.5750122,370.9750061,360.5249939,362.5,3005894,366.1499939
10-02-2010,256.6885681,366.1499939,371.8500061,364.0499878,369.9500122,2337374,371.3500061
11-02-2010,260.3340149,371.3500061,373.9750061,367.5,368.9750061,2413156,373.0750122
15-02-2010,261.5433655,373.0750122,375,369.2749939,375,1956482,379.0750122
16-02-2010,265.7496643,379.0750122,382.4750061,371.1000061,373.625,1660490,379.3250122
17-02-2010,265.9248962,379.3250122,383.9750061,376.2749939,382.4500122,2528290,379.3999939
18-02-2010,265.9775391,379.3999939,383.4750061,377.75,380,1814806,375.2749939
19-02-2010,263.0856934,375.2749939,379.75,372.8999939,377.4500122,2215880,378.625
22-02-2010,265.4341736,378.625,381.8500061,376.8999939,378.5,2143460,381.0499878
23-02-2010,267.1342773,381.0499878,382.5,375.625,379.5,1853052,382.6749878
24-02-2010,268.2733765,382.6749878,385.3500061,376.0499878,378,4076058,383.125
25-02-2010,268.5888672,383.125,384.8999939,380.625,384.8999939,2672984,380.8999939
26-02-2010,267.0290222,380.8999939,389.2749939,373.0750122,383.5499878,3015934,381.6000061
02-03-2010,267.5198059,381.6000061,384.5,377.5,381,4053352,384.375
03-03-2010,269.4650879,384.375,387,382.0750122,384.5,2754742,381.9500122
